status,crn,type,section, tme,day, location,instructor
-------------------------------------------------------------------------------------
Course  : Description
 section closed 36016 Lecture-Discussion BL1 02:00PM - 03:15PM MW      1320 Digital Computer Laboratory N/A
 section closed 36020 Lecture-Discussion BL2 02:00PM - 03:15PM MW      1320 Digital Computer Laboratory N/A
-------------------------------------------------------------------------------------
CS 461  : Computer Security I
 section closed 49547 Lecture AL4 03:30PM - 04:45PM WF      1404 Siebel Center for Comp Sci Bailey, M
 section closed 66966 Discussion/ Recitation AY1 11:00AM - 11:50AM R       1111 Siebel Center for Comp Sci Bailey, M
 1. section open 66968 Discussion/ Recitation AY2 12:00PM - 12:50PM R       1111 Siebel Center for Comp Sci Bailey, M
 section closed 66969 Discussion/ Recitation AY3 01:00PM - 01:50PM R       1111 Siebel Center for Comp Sci Bailey, M
 section closed 66970 Discussion/ Recitation AY4 02:00PM - 02:50PM R       1105 Siebel Center for Comp Sci Bailey, M
 1. section open 66971 Discussion/ Recitation AY5 03:00PM - 03:50PM R       1105 Siebel Center for Comp Sci Bailey, M
